case_index,name,level,source,data_type,data_subject,data_sender,data_recipient,transmission_principle,selection_name,control_type,layer,k,random_id,alpha,signed_removal,normal_decision,normal_yes_score,normal_no_score,normal_yes_minus_no_margin,patched_decision,patched_yes_score,patched_no_score,patched_yes_minus_no_margin,delta_toward_yes,no_to_yes_flip,error
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,1.0,False,No,19.640625,46.75,-27.109375,No,22.28125,46.96875,-24.6875,2.421875,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,2.0,False,No,19.640625,46.75,-27.109375,No,26.4375,46.625,-20.1875,6.921875,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,4.0,False,No,19.640625,46.75,-27.109375,No,38.5625,41.46875,-2.90625,24.203125,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top50,ci_top_neurons,22,50,-1,6.0,False,No,19.640625,46.75,-27.109375,Yes,44.5625,27.671875,16.890625,44.0,1,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,1.0,False,No,19.640625,46.75,-27.109375,No,22.328125,46.96875,-24.640625,2.46875,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,2.0,False,No,19.640625,46.75,-27.109375,No,26.59375,46.59375,-20.0,7.109375,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,4.0,False,No,19.640625,46.75,-27.109375,No,38.875,41.21875,-2.34375,24.765625,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top100,ci_top_neurons,22,100,-1,6.0,False,No,19.640625,46.75,-27.109375,Yes,44.625,26.96875,17.65625,44.765625,1,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,1.0,False,No,19.640625,46.75,-27.109375,No,22.25,46.96875,-24.71875,2.390625,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,2.0,False,No,19.640625,46.75,-27.109375,No,26.359375,46.65625,-20.296875,6.8125,0,
0,main1,seed,crowdsourcing,a pending legal case,the defendant,the lawyer,visitors on facebook,send a facebook post,L22_top200,ci_top_neurons,22,200,-1,4.0,False,No,19.640625,46.75,-27.109375,No,38.4375,41.625,-3.1875,23.921875,0,
