table_file,report_role,purpose
clean304/controlled_behavior.csv,Finding 1,Controlled A/B/C/D behavior for Base and CI.
clean304/within_model_patching_summary.csv,Finding 1,Representative within-model patching results at report-valid sites.
clean304/strict_span_patching_summary.csv,Appendix C,Length-compatible span patching controls.
clean304/activation_similarity_final_token.csv,Finding 1,Late Base/CI raw-state and counterfactual-direction similarity.
clean304/same_prompt_cross_model_transfer.csv,Finding 1,Same-prompt late cross-checkpoint D-state transfer.
clean304/component_direction_ablation.csv,Finding 2,L18 attention versus broader late MLP component localization.
clean304/writer_scan_top_neurons.csv,Finding 2,"Top writer neurons, including L22 N13149."
clean304/writer_sufficiency_and_overlap.csv,Appendices I and M,"Writer sufficiency, overlap, and cross-checkpoint writer reuse."
privacylens/ci_l22_writer_transfer.csv,Transfer,Fixed CLEAN304-derived L22 writer transfer to PrivacyLens.
privacylens/ci_l18_head_transfer.csv,Transfer,CLEAN304-ranked L18 head set evaluated on PrivacyLens.
privacylens/ci_l18_to_l22_propagation.csv,Transfer,L18 intervention with downstream N13149 tracking across PrivacyLens levels.
privacylens/base_remove_rescue.csv,Key post-training test,Base L22 and L18 remove/rescue with matched random controls.
privacylens/same_prompt_correction_summary.csv,Appendix N,Summary of the 27 exact Base-Yes/CI-No PrivacyLens correction cases.
